Complaint,Department
Tube light not working in Second Floor.,Electrical
Breadboard is damaged in Lab 2.,ECE
Broken classroom bench in First Floor.,Maintenance
Drinking water cooler not working in Room 204.,Hostel
Floor needs mopping in Lab 2.,Cleaning
Drinking water cooler not working in Block A.,Hostel
Dustbins are overflowing in Second Floor.,Cleaning
Power socket not working in Room 101.,Electrical
Mouse is not responding in Lab 2.,CSE
Microcontroller kit not working in Lab 1.,ECE
Drinking water cooler not working in Lab 1.,Hostel
Room lock is broken in Second Floor.,Hostel
Fan is not working in Block A.,Electrical
Wall has cracks in Block B.,Maintenance
Library AC not working in Second Floor.,Library
System is running very slow in Admin Block.,CSE
No water supply in hostel in Block B.,Hostel
Function generator faulty in Lab 2.,ECE
Roof seepage issue in Block B.,Maintenance
Hostel room needs cleaning in Second Floor.,Hostel
Roof seepage issue in Second Floor.,Maintenance
Mess food quality is poor in Admin Block.,Hostel
Broken classroom bench in Room 101.,Maintenance
Bad smell in corridor in Room 101.,Cleaning
Hostel room needs cleaning in Lab 1.,Hostel
Fan not working in hostel room in Lab 2.,Hostel
Oscilloscope not working in Lab 2.,ECE
Library computer not working in Room 101.,Library
Drinking water cooler not working in Lab 2.,Hostel
Campus area is dirty in Second Floor.,Cleaning
Staircase is dusty in Lab 1.,Cleaning
Tap is leaking in Block B.,Maintenance
Roof seepage issue in First Floor.,Maintenance
Computer not starting in First Floor.,CSE
Library computer not working in Lab 1.,Library
Breadboard is damaged in First Floor.,ECE
Tap is leaking in Lab 2.,Maintenance
Hostel room needs cleaning in Lab 2.,Hostel
Microcontroller kit not working in Admin Block.,ECE
Roof seepage issue in Room 204.,Maintenance
Hostel room needs cleaning in Room 204.,Hostel
Book issue system not working in Block A.,Library
Mess food quality is poor in Block A.,Hostel
Mouse is not responding in Lab 1.,CSE
Fee payment portal not working in Block A.,Others
Oscilloscope not working in Block A.,ECE
No water supply in hostel in Second Floor.,Hostel
Fan not working in hostel room in First Floor.,Hostel
Lab equipment is faulty in Room 204.,ECE
Campus area is dirty in Block B.,Cleaning
Tap is leaking in Lab 2.,Maintenance
Plumbing problem in Block A.,Maintenance
Fee payment portal not working in Room 101.,Others
Door lock is broken in First Floor.,Maintenance
Loose electrical wiring in Lab 2.,Electrical
Software installation required in Admin Block.,CSE
Bonafide certificate delayed in First Floor.,Others
Classroom is very dirty in Lab 2.,Cleaning
Floor needs mopping in Room 204.,Cleaning
Book return portal not working in Room 204.,Library
Floor needs mopping in Room 101.,Cleaning
Insufficient seating in library in Lab 1.,Library
Reading room is noisy in Admin Block.,Library
Software installation required in Second Floor.,CSE
Wall has cracks in Room 204.,Maintenance
Mouse is not responding in First Floor.,CSE
Internet not working in lab in Admin Block.,CSE
Hostel WiFi not working in Admin Block.,Hostel
Mess food quality is poor in Block B.,Hostel
Switch board is damaged in Room 204.,Electrical
Room lock is broken in Block B.,Hostel
Roof seepage issue in Admin Block.,Maintenance
Roof seepage issue in Admin Block.,Maintenance
Washroom needs cleaning in Block A.,Cleaning
Tube light not working in Second Floor.,Electrical
Bus pass issue in Lab 2.,Others
Function generator faulty in Admin Block.,ECE
Signal generator issue in Block B.,ECE
Insufficient seating in library in First Floor.,Library
Keyboard not working in Second Floor.,CSE
Mouse is not responding in Lab 2.,CSE
Book return portal not working in Lab 2.,Library
Fan is not working in Room 204.,Electrical
Fee payment portal not working in Lab 2.,Others
Microcontroller kit not working in Lab 2.,ECE
Required book is unavailable in Block B.,Library
Garbage not collected in Second Floor.,Cleaning
General enquiry not resolved in Room 204.,Others
Fan not working in hostel room in Lab 2.,Hostel
Wall has cracks in Room 101.,Maintenance
Website login problem in Block B.,Others
Bad smell in corridor in Room 204.,Cleaning
Internet not working in lab in First Floor.,CSE
Power socket not working in Room 204.,Electrical
Plumbing problem in Block A.,Maintenance
General enquiry not resolved in Block A.,Others
Classroom is very dirty in Room 204.,Cleaning
Hall ticket not generated in Block B.,Others
Bonafide certificate delayed in Room 204.,Others
Drinking water cooler not working in Room 101.,Hostel
Bad smell in corridor in Block A.,Cleaning
Door lock is broken in First Floor.,Maintenance
Staircase is dusty in Room 204.,Cleaning
Broken classroom bench in Second Floor.,Maintenance
Power outage in classroom in First Floor.,Electrical
Room lock is broken in Lab 2.,Hostel
Power outage in classroom in Admin Block.,Electrical
General enquiry not resolved in Lab 1.,Others
Mess food quality is poor in Room 101.,Hostel
Dustbins are overflowing in First Floor.,Cleaning
Hall ticket not generated in Admin Block.,Others
Monitor display is blank in Block A.,CSE
Digital trainer board failed in Block A.,ECE
No water supply in hostel in Room 101.,Hostel
Power outage in classroom in Room 204.,Electrical
Website login problem in Room 204.,Others
Oscilloscope not working in Lab 2.,ECE
Hostel room needs cleaning in Lab 1.,Hostel
Generator backup failed in Lab 1.,Electrical
Drinking water cooler not working in Block B.,Hostel
Water leaking from ceiling in First Floor.,Maintenance
Microcontroller kit not working in Lab 2.,ECE
Plumbing problem in Block A.,Maintenance
Window glass is broken in Lab 2.,Maintenance
Bad smell in corridor in Lab 2.,Cleaning
Book return portal not working in Admin Block.,Library
Window glass is broken in Room 101.,Maintenance
Light is flickering in First Floor.,Electrical
Light is flickering in Lab 2.,Electrical
Microcontroller kit not working in Room 204.,ECE
Bonafide certificate delayed in Block B.,Others
Dustbins are overflowing in First Floor.,Cleaning
Hostel room needs cleaning in Block B.,Hostel
Staircase is dusty in Block B.,Cleaning
Light is flickering in Block B.,Electrical
Library computer not working in Admin Block.,Library
Washroom needs cleaning in Room 204.,Cleaning
No water supply in hostel in Room 101.,Hostel
Reading room is noisy in Block B.,Library
Washroom needs cleaning in Room 101.,Cleaning
Wall has cracks in Block A.,Maintenance
Computer not starting in Admin Block.,CSE
Website login problem in Block A.,Others
Staircase is dusty in Block A.,Cleaning
Fan is not working in Lab 1.,Electrical
Library internet not working in Admin Block.,Library
Tap is leaking in Lab 2.,Maintenance
Staircase is dusty in Block B.,Cleaning
ID card not issued in First Floor.,Others
Loose electrical wiring in Block B.,Electrical
Hall ticket not generated in Lab 2.,Others
Insufficient seating in library in Room 204.,Library
Room lock is broken in Lab 2.,Hostel
System is running very slow in Block A.,CSE
Bonafide certificate delayed in Room 101.,Others
Garbage not collected in Admin Block.,Cleaning
Drinking water cooler not working in Second Floor.,Hostel
Breadboard is damaged in Room 204.,ECE
Fee payment portal not working in Lab 2.,Others
Mouse is not responding in Admin Block.,CSE
Drinking water cooler not working in Lab 2.,Hostel
Library internet not working in Block A.,Library
Bad smell in corridor in First Floor.,Cleaning
Function generator faulty in Admin Block.,ECE
Hostel room needs cleaning in Room 204.,Hostel
Hostel room needs cleaning in Admin Block.,Hostel
Monitor display is blank in Room 204.,CSE
Mess food quality is poor in Lab 1.,Hostel
No water supply in hostel in Admin Block.,Hostel
Bus pass issue in Lab 2.,Others
Fee payment portal not working in Block B.,Others
Fan not working in hostel room in Second Floor.,Hostel
Fan not working in hostel room in Second Floor.,Hostel
System is running very slow in Room 101.,CSE
Computer not starting in Room 101.,CSE
Scholarship not received in Block A.,Others
Signal generator issue in Second Floor.,ECE
Loose electrical wiring in First Floor.,Electrical
Library computer not working in Lab 1.,Library
General enquiry not resolved in Lab 2.,Others
Mess food quality is poor in First Floor.,Hostel
Hostel WiFi not working in Admin Block.,Hostel
Signal generator issue in Room 204.,ECE
Lab equipment is faulty in First Floor.,ECE
Garbage not collected in Room 204.,Cleaning
Library AC not working in Room 101.,Library
Website login problem in Second Floor.,Others
Plumbing problem in Room 204.,Maintenance
Library internet not working in Block B.,Library
Fan not working in hostel room in Admin Block.,Hostel
Broken classroom bench in Block A.,Maintenance
Water leaking from ceiling in Admin Block.,Maintenance
Garbage not collected in Room 204.,Cleaning
Tube light not working in Second Floor.,Electrical
Hostel room needs cleaning in Block A.,Hostel
Book issue system not working in Admin Block.,Library
Insufficient seating in library in Lab 1.,Library
Hostel WiFi not working in Lab 2.,Hostel
Lab equipment is faulty in Lab 2.,ECE
Keyboard not working in Admin Block.,CSE
Bathroom is dirty in Admin Block.,Hostel
Room lock is broken in Lab 1.,Hostel
Lab equipment is faulty in Admin Block.,ECE
Book issue system not working in Second Floor.,Library
Software installation required in Lab 1.,CSE
General enquiry not resolved in Admin Block.,Others
Staircase is dusty in Second Floor.,Cleaning
Library AC not working in Admin Block.,Library
Library AC not working in Lab 1.,Library
Library internet not working in Lab 1.,Library
Floor needs mopping in Room 204.,Cleaning
Wall has cracks in Block A.,Maintenance
Hostel room needs cleaning in Block A.,Hostel
Internet not working in lab in Lab 1.,CSE
Website login problem in First Floor.,Others
Plumbing problem in Block B.,Maintenance
Mess food quality is poor in Block A.,Hostel
Function generator faulty in Block B.,ECE
Mouse is not responding in Second Floor.,CSE
Fee payment portal not working in Room 101.,Others
Library internet not working in Block B.,Library
Drinking water cooler not working in Block A.,Hostel
Window glass is broken in Room 101.,Maintenance
Fan is not working in Lab 1.,Electrical
Required book is unavailable in Block B.,Library
Bonafide certificate delayed in Admin Block.,Others
Tap is leaking in Lab 1.,Maintenance
Breadboard is damaged in Room 204.,ECE
Breadboard is damaged in Lab 2.,ECE
Lab equipment is faulty in Lab 2.,ECE
Keyboard not working in Lab 1.,CSE
Power outage in classroom in Room 101.,Electrical
Floor needs mopping in Lab 2.,Cleaning
Power outage in classroom in Block A.,Electrical
Keyboard not working in Block B.,CSE
Tap is leaking in Lab 2.,Maintenance
Generator backup failed in Lab 1.,Electrical
Roof seepage issue in Second Floor.,Maintenance
Software installation required in Block B.,CSE
Room lock is broken in Room 101.,Hostel
Software installation required in Room 101.,CSE
Book return portal not working in Lab 2.,Library
Tube light not working in Second Floor.,Electrical
Classroom is very dirty in Block B.,Cleaning
Fee payment portal not working in Lab 2.,Others
Fan not working in hostel room in Second Floor.,Hostel
Bad smell in corridor in Block B.,Cleaning
Lab equipment is faulty in Second Floor.,ECE
Plumbing problem in Admin Block.,Maintenance
Library computer not working in Room 101.,Library
Floor needs mopping in First Floor.,Cleaning
Fan not working in hostel room in Lab 1.,Hostel
Classroom is very dirty in Lab 2.,Cleaning
Insufficient seating in library in Block B.,Library
Light is flickering in Block A.,Electrical
Computer not starting in Lab 2.,CSE
Breadboard is damaged in Admin Block.,ECE
Switch board is damaged in Block B.,Electrical
Mess food quality is poor in Second Floor.,Hostel
Monitor display is blank in Admin Block.,CSE
Hostel room needs cleaning in Admin Block.,Hostel
Plumbing problem in Room 101.,Maintenance
Switch board is damaged in Block A.,Electrical
Power socket not working in Lab 1.,Electrical
Staircase is dusty in Second Floor.,Cleaning
Insufficient seating in library in Lab 2.,Library
Broken classroom bench in Admin Block.,Maintenance
Plumbing problem in Admin Block.,Maintenance
Internet not working in lab in Admin Block.,CSE
Lab equipment is faulty in Lab 2.,ECE
Bonafide certificate delayed in First Floor.,Others
Staircase is dusty in Admin Block.,Cleaning
System is running very slow in Block A.,CSE
Loose electrical wiring in First Floor.,Electrical
Computer not starting in Lab 1.,CSE
Software installation required in Second Floor.,CSE
Power socket not working in Second Floor.,Electrical
Book return portal not working in Admin Block.,Library
Classroom is very dirty in Admin Block.,Cleaning
Fan is not working in First Floor.,Electrical
Water leaking from ceiling in Room 101.,Maintenance
Door lock is broken in Admin Block.,Maintenance
Computer not starting in Block A.,CSE
Mouse is not responding in Room 204.,CSE
Washroom needs cleaning in Room 204.,Cleaning
Library internet not working in Admin Block.,Library
Function generator faulty in Admin Block.,ECE
Power socket not working in Room 101.,Electrical
Arduino board not detected in Block A.,ECE
Loose electrical wiring in Lab 2.,Electrical
Dustbins are overflowing in Block B.,Cleaning
Library computer not working in Admin Block.,Library
Library AC not working in First Floor.,Library
Fan is not working in Room 204.,Electrical
Room lock is broken in Second Floor.,Hostel
Reading room is noisy in Second Floor.,Library
Required book is unavailable in Lab 2.,Library
Staircase is dusty in First Floor.,Cleaning
Function generator faulty in Block B.,ECE
Power outage in classroom in Admin Block.,Electrical
Computer not starting in Admin Block.,CSE
Lab equipment is faulty in Block A.,ECE
Floor needs mopping in Block A.,Cleaning
Bus pass issue in Lab 1.,Others
Oscilloscope not working in Block A.,ECE
Microcontroller kit not working in Room 204.,ECE
Switch board is damaged in Lab 1.,Electrical
Bonafide certificate delayed in First Floor.,Others
Hostel room needs cleaning in Block A.,Hostel
ID card not issued in Block A.,Others
Library internet not working in Lab 2.,Library
Wall has cracks in Room 204.,Maintenance
Fee payment portal not working in First Floor.,Others
Switch board is damaged in Room 101.,Electrical
Roof seepage issue in Lab 2.,Maintenance
Insufficient seating in library in Admin Block.,Library
Computer not starting in Lab 1.,CSE
Arduino board not detected in Second Floor.,ECE
Hostel WiFi not working in Block B.,Hostel
Loose electrical wiring in First Floor.,Electrical
Fee payment portal not working in Lab 1.,Others
Washroom needs cleaning in Room 204.,Cleaning
Power socket not working in Admin Block.,Electrical
Hostel WiFi not working in Second Floor.,Hostel
Library AC not working in Room 101.,Library
Drinking water cooler not working in Second Floor.,Hostel
No water supply in hostel in Block B.,Hostel
Library AC not working in Block B.,Library
Floor needs mopping in Block B.,Cleaning
Dustbins are overflowing in Room 101.,Cleaning
Broken classroom bench in Block B.,Maintenance
Printer not working in First Floor.,CSE
Floor needs mopping in First Floor.,Cleaning
Signal generator issue in Admin Block.,ECE
Room lock is broken in Lab 2.,Hostel
Fan not working in hostel room in Second Floor.,Hostel
Plumbing problem in Room 101.,Maintenance
Hall ticket not generated in Room 204.,Others
Tap is leaking in Block A.,Maintenance
Drinking water cooler not working in Lab 1.,Hostel
Book return portal not working in Room 101.,Library
Keyboard not working in Lab 2.,CSE
Software installation required in Block A.,CSE
Website login problem in Room 101.,Others
Function generator faulty in Room 204.,ECE
Monitor display is blank in Block A.,CSE
Oscilloscope not working in Second Floor.,ECE
Dustbins are overflowing in Lab 1.,Cleaning
Arduino board not detected in Block A.,ECE
Roof seepage issue in Room 204.,Maintenance
Fee payment portal not working in Second Floor.,Others
System is running very slow in Lab 2.,CSE
Monitor display is blank in First Floor.,CSE
Book return portal not working in Lab 2.,Library
Power socket not working in Room 101.,Electrical
Fan not working in hostel room in Room 204.,Hostel
Campus area is dirty in Room 101.,Cleaning
Reading room is noisy in Room 204.,Library
Generator backup failed in Room 204.,Electrical
Arduino board not detected in Lab 1.,ECE
Reading room is noisy in First Floor.,Library
Hostel room needs cleaning in Lab 2.,Hostel
Computer not starting in Lab 1.,CSE
Library AC not working in Block A.,Library
Hostel room needs cleaning in Room 204.,Hostel
Software installation required in Block A.,CSE
General enquiry not resolved in Lab 2.,Others
Power outage in classroom in Admin Block.,Electrical
Mouse is not responding in First Floor.,CSE
Switch board is damaged in Admin Block.,Electrical
Broken classroom bench in Lab 2.,Maintenance
Internet not working in lab in Room 204.,CSE
Tube light not working in Block A.,Electrical
Function generator faulty in Second Floor.,ECE
Printer not working in Room 204.,CSE
Mess food quality is poor in First Floor.,Hostel
Bathroom is dirty in Admin Block.,Hostel
Power outage in classroom in First Floor.,Electrical
Floor needs mopping in Lab 2.,Cleaning
Wall has cracks in Room 101.,Maintenance
Book issue system not working in Admin Block.,Library
Room lock is broken in Lab 2.,Hostel
Monitor display is blank in Block B.,CSE
ID card not issued in Lab 2.,Others
Power socket not working in Second Floor.,Electrical
Reading room is noisy in Room 101.,Library
Power outage in classroom in Room 204.,Electrical
Fee payment portal not working in Lab 1.,Others
Library AC not working in Admin Block.,Library
Scholarship not received in First Floor.,Others
Breadboard is damaged in Lab 1.,ECE
Mouse is not responding in Room 101.,CSE
Room lock is broken in Admin Block.,Hostel
Library internet not working in First Floor.,Library
Wall has cracks in Lab 1.,Maintenance
Insufficient seating in library in Room 204.,Library
Hostel WiFi not working in Lab 1.,Hostel
Breadboard is damaged in Block A.,ECE
Staircase is dusty in Room 101.,Cleaning
Water leaking from ceiling in First Floor.,Maintenance
Switch board is damaged in First Floor.,Electrical
Generator backup failed in Block A.,Electrical
Fan is not working in First Floor.,Electrical
Fee payment portal not working in Room 101.,Others
Software installation required in Admin Block.,CSE
Library internet not working in Room 101.,Library
General enquiry not resolved in Block A.,Others
Campus area is dirty in Admin Block.,Cleaning
Light is flickering in Lab 1.,Electrical
Book return portal not working in Block A.,Library
Reading room is noisy in Admin Block.,Library
Power outage in classroom in First Floor.,Electrical
Hostel room needs cleaning in Admin Block.,Hostel
Hostel room needs cleaning in Block A.,Hostel
Monitor display is blank in Admin Block.,CSE
Drinking water cooler not working in Room 101.,Hostel
Mess food quality is poor in Block A.,Hostel
Fan is not working in Lab 1.,Electrical
Breadboard is damaged in Admin Block.,ECE
Room lock is broken in Room 204.,Hostel
Book return portal not working in Room 101.,Library
Digital trainer board failed in Block B.,ECE
Lab equipment is faulty in Room 101.,ECE
Signal generator issue in Lab 2.,ECE
Microcontroller kit not working in Room 101.,ECE
Reading room is noisy in Lab 1.,Library
Library internet not working in Room 204.,Library
Digital trainer board failed in Lab 1.,ECE
Internet not working in lab in Block A.,CSE
Signal generator issue in Second Floor.,ECE
Fan not working in hostel room in Lab 2.,Hostel
Bus pass issue in Room 101.,Others
Printer not working in Block A.,CSE
Hostel WiFi not working in First Floor.,Hostel
Keyboard not working in Block B.,CSE
Mess food quality is poor in Lab 2.,Hostel
Hostel WiFi not working in Lab 1.,Hostel
No water supply in hostel in Block B.,Hostel
Hostel WiFi not working in Room 204.,Hostel
Book issue system not working in Admin Block.,Library
Scholarship not received in Block A.,Others
Dustbins are overflowing in Admin Block.,Cleaning
Software installation required in Lab 2.,CSE
Breadboard is damaged in Room 101.,ECE
General enquiry not resolved in Admin Block.,Others
Hostel WiFi not working in Block A.,Hostel
Library AC not working in Room 204.,Library
Staircase is dusty in Admin Block.,Cleaning
Power outage in classroom in Lab 1.,Electrical
Window glass is broken in First Floor.,Maintenance
Washroom needs cleaning in Lab 1.,Cleaning
Plumbing problem in First Floor.,Maintenance
Hostel room needs cleaning in Admin Block.,Hostel
Broken classroom bench in Admin Block.,Maintenance
Insufficient seating in library in First Floor.,Library
Bonafide certificate delayed in Room 101.,Others
Broken classroom bench in Lab 1.,Maintenance
Fee payment portal not working in Lab 2.,Others
Website login problem in First Floor.,Others
Door lock is broken in Lab 2.,Maintenance
Tube light not working in Admin Block.,Electrical
General enquiry not resolved in Lab 1.,Others
Bad smell in corridor in Second Floor.,Cleaning
Signal generator issue in Second Floor.,ECE
Plumbing problem in Lab 1.,Maintenance
Staircase is dusty in Block A.,Cleaning
Broken classroom bench in Block A.,Maintenance
Function generator faulty in Lab 2.,ECE
Fan is not working in Block B.,Electrical
Window glass is broken in First Floor.,Maintenance
Printer not working in Second Floor.,CSE
Floor needs mopping in Room 101.,Cleaning
Campus area is dirty in Lab 2.,Cleaning
Light is flickering in Block B.,Electrical
Bad smell in corridor in Room 101.,Cleaning
Switch board is damaged in Block B.,Electrical
Scholarship not received in Room 101.,Others
Software installation required in Admin Block.,CSE
Mouse is not responding in Block B.,CSE
Tube light not working in First Floor.,Electrical
Hostel WiFi not working in Block B.,Hostel
Bus pass issue in Admin Block.,Others
Library internet not working in Lab 2.,Library
Bad smell in corridor in Second Floor.,Cleaning
ID card not issued in Lab 2.,Others
Room lock is broken in Admin Block.,Hostel
Floor needs mopping in Block B.,Cleaning
Library internet not working in Block A.,Library
Digital trainer board failed in Lab 1.,ECE
Hostel room needs cleaning in Block A.,Hostel
General enquiry not resolved in Lab 1.,Others
Fan not working in hostel room in Second Floor.,Hostel
Software installation required in Block A.,CSE
Dustbins are overflowing in Admin Block.,Cleaning
Plumbing problem in Room 204.,Maintenance
Broken classroom bench in First Floor.,Maintenance
Signal generator issue in Lab 2.,ECE
Computer not starting in Block A.,CSE
Wall has cracks in Room 101.,Maintenance
Wall has cracks in Room 204.,Maintenance
Internet not working in lab in Block A.,CSE
Book return portal not working in Room 204.,Library
Tap is leaking in Block B.,Maintenance
Library internet not working in Admin Block.,Library
Mouse is not responding in Block A.,CSE
Hall ticket not generated in Lab 1.,Others
Generator backup failed in Admin Block.,Electrical
Drinking water cooler not working in Second Floor.,Hostel
Bad smell in corridor in Lab 2.,Cleaning
Scholarship not received in Second Floor.,Others
Keyboard not working in First Floor.,CSE
Oscilloscope not working in Admin Block.,ECE
Power outage in classroom in Admin Block.,Electrical
No water supply in hostel in Room 101.,Hostel
Broken classroom bench in Room 101.,Maintenance
ID card not issued in Room 204.,Others
Hostel WiFi not working in First Floor.,Hostel
Hostel WiFi not working in Lab 2.,Hostel
Monitor display is blank in Room 101.,CSE
Washroom needs cleaning in Lab 2.,Cleaning
General enquiry not resolved in Second Floor.,Others
Power outage in classroom in Block A.,Electrical
Staircase is dusty in Lab 1.,Cleaning
Wall has cracks in Second Floor.,Maintenance
Software installation required in Block A.,CSE
Loose electrical wiring in Room 204.,Electrical
General enquiry not resolved in Lab 1.,Others
Microcontroller kit not working in Room 204.,ECE
Fan is not working in Lab 2.,Electrical
Website login problem in Block A.,Others
General enquiry not resolved in Room 101.,Others
Bad smell in corridor in Block A.,Cleaning
Staircase is dusty in Admin Block.,Cleaning
Tap is leaking in Room 204.,Maintenance
Library computer not working in Second Floor.,Library
Tap is leaking in Room 204.,Maintenance
Arduino board not detected in Lab 2.,ECE
Bathroom is dirty in Room 101.,Hostel
Insufficient seating in library in Block B.,Library
Mess food quality is poor in Block A.,Hostel
Arduino board not detected in Block B.,ECE
Floor needs mopping in Block B.,Cleaning
Roof seepage issue in Lab 2.,Maintenance
Roof seepage issue in Lab 1.,Maintenance
Library AC not working in Lab 2.,Library
Book issue system not working in Block B.,Library
General enquiry not resolved in Block A.,Others
Breadboard is damaged in Block B.,ECE
Drinking water cooler not working in Room 101.,Hostel
Garbage not collected in Second Floor.,Cleaning
Library internet not working in Lab 1.,Library
Fan is not working in Lab 2.,Electrical
Switch board is damaged in First Floor.,Electrical
Digital trainer board failed in Second Floor.,ECE
Generator backup failed in Block B.,Electrical
Staircase is dusty in Lab 1.,Cleaning
System is running very slow in Lab 2.,CSE
Floor needs mopping in Lab 1.,Cleaning
Garbage not collected in Lab 2.,Cleaning
Microcontroller kit not working in Second Floor.,ECE
Website login problem in Lab 1.,Others
Computer not starting in Block B.,CSE
Water leaking from ceiling in Lab 1.,Maintenance
Room lock is broken in Admin Block.,Hostel
Breadboard is damaged in Admin Block.,ECE
Function generator faulty in Admin Block.,ECE
Oscilloscope not working in Block B.,ECE
Fee payment portal not working in Lab 1.,Others
ID card not issued in First Floor.,Others
Light is flickering in First Floor.,Electrical
Lab equipment is faulty in Block B.,ECE
General enquiry not resolved in First Floor.,Others
Library internet not working in First Floor.,Library
Microcontroller kit not working in Second Floor.,ECE
Hall ticket not generated in First Floor.,Others
Oscilloscope not working in Admin Block.,ECE
Washroom needs cleaning in Block B.,Cleaning
Website login problem in Block A.,Others
Keyboard not working in Block A.,CSE
Water leaking from ceiling in Lab 1.,Maintenance
Digital trainer board failed in Admin Block.,ECE
Room lock is broken in Room 204.,Hostel
General enquiry not resolved in Block B.,Others
Digital trainer board failed in Lab 2.,ECE
No water supply in hostel in Admin Block.,Hostel
Oscilloscope not working in Second Floor.,ECE
Light is flickering in Block A.,Electrical
Breadboard is damaged in Block B.,ECE
Door lock is broken in Block B.,Maintenance
Computer not starting in Second Floor.,CSE
Water leaking from ceiling in Room 101.,Maintenance
Bad smell in corridor in Room 204.,Cleaning
Fan not working in hostel room in Block A.,Hostel
Water leaking from ceiling in Block B.,Maintenance
Lab equipment is faulty in Second Floor.,ECE
Power outage in classroom in Block B.,Electrical
Internet not working in lab in Lab 2.,CSE
Breadboard is damaged in Lab 1.,ECE
Scholarship not received in Block A.,Others
Library computer not working in Room 204.,Library
Bus pass issue in Lab 2.,Others
Loose electrical wiring in Second Floor.,Electrical
Library computer not working in Block A.,Library
Library internet not working in Lab 1.,Library
Tap is leaking in Admin Block.,Maintenance
Bad smell in corridor in Room 204.,Cleaning
Software installation required in Room 204.,CSE
Water leaking from ceiling in Lab 1.,Maintenance
Digital trainer board failed in Block A.,ECE
Loose electrical wiring in Block A.,Electrical
Oscilloscope not working in Room 204.,ECE
Room lock is broken in Block A.,Hostel
Garbage not collected in Block B.,Cleaning
Campus area is dirty in First Floor.,Cleaning
Digital trainer board failed in Block B.,ECE
Water leaking from ceiling in First Floor.,Maintenance
Bus pass issue in Admin Block.,Others
Garbage not collected in Block A.,Cleaning
Website login problem in Second Floor.,Others
Oscilloscope not working in Second Floor.,ECE
Power socket not working in Lab 2.,Electrical
Library internet not working in Lab 1.,Library
Reading room is noisy in Block B.,Library
ID card not issued in Room 204.,Others
Door lock is broken in Admin Block.,Maintenance
Lab equipment is faulty in Lab 1.,ECE
Floor needs mopping in Admin Block.,Cleaning
Printer not working in Lab 1.,CSE
Oscilloscope not working in Lab 2.,ECE
Software installation required in Room 101.,CSE
Bonafide certificate delayed in Lab 1.,Others
Power socket not working in Lab 1.,Electrical
Tube light not working in Block B.,Electrical
Arduino board not detected in Block B.,ECE
Signal generator issue in Room 101.,ECE
Fan not working in hostel room in Lab 1.,Hostel
Hall ticket not generated in Room 101.,Others
Tube light not working in Block A.,Electrical
Tube light not working in Block B.,Electrical
General enquiry not resolved in Block B.,Others
Fee payment portal not working in Lab 2.,Others
Water leaking from ceiling in Block A.,Maintenance
Library computer not working in Lab 1.,Library
Signal generator issue in Second Floor.,ECE
Switch board is damaged in Room 204.,Electrical
Book issue system not working in Lab 1.,Library
Campus area is dirty in Lab 2.,Cleaning
Software installation required in Lab 2.,CSE
Insufficient seating in library in Room 204.,Library
Plumbing problem in Lab 1.,Maintenance
Library internet not working in Lab 1.,Library
Drinking water cooler not working in Room 204.,Hostel
Hall ticket not generated in Room 101.,Others
Reading room is noisy in Room 101.,Library
Hostel room needs cleaning in Room 204.,Hostel
Fan is not working in First Floor.,Electrical
Bathroom is dirty in Lab 2.,Hostel
Function generator faulty in Room 204.,ECE
Website login problem in Lab 1.,Others
Website login problem in Block A.,Others
Water leaking from ceiling in Block B.,Maintenance
Scholarship not received in Lab 2.,Others
Power outage in classroom in Room 101.,Electrical
Generator backup failed in Lab 1.,Electrical
Lab equipment is faulty in Block B.,ECE
Hall ticket not generated in Admin Block.,Others
Fee payment portal not working in Block A.,Others
Digital trainer board failed in Lab 1.,ECE
Floor needs mopping in Room 101.,Cleaning
Classroom is very dirty in Block B.,Cleaning
Bus pass issue in Second Floor.,Others
Light is flickering in Room 101.,Electrical
Plumbing problem in Block B.,Maintenance
Monitor display is blank in Second Floor.,CSE
Bad smell in corridor in Second Floor.,Cleaning
Internet not working in lab in First Floor.,CSE
Fan is not working in Room 204.,Electrical
Bus pass issue in Room 101.,Others
Book return portal not working in Block B.,Library
Required book is unavailable in Block B.,Library
Wall has cracks in Lab 1.,Maintenance
Bonafide certificate delayed in Lab 2.,Others
Door lock is broken in First Floor.,Maintenance
System is running very slow in Lab 1.,CSE
Printer not working in First Floor.,CSE
No water supply in hostel in Room 101.,Hostel
Window glass is broken in Second Floor.,Maintenance
Keyboard not working in First Floor.,CSE
Bathroom is dirty in Block B.,Hostel
Bathroom is dirty in Lab 2.,Hostel
Generator backup failed in Lab 1.,Electrical
Tap is leaking in Room 204.,Maintenance
Digital trainer board failed in Admin Block.,ECE
Mouse is not responding in Admin Block.,CSE
Lab equipment is faulty in Lab 1.,ECE
Staircase is dusty in Block B.,Cleaning
Washroom needs cleaning in Lab 2.,Cleaning
Hostel WiFi not working in Lab 1.,Hostel
System is running very slow in Lab 2.,CSE
Reading room is noisy in Admin Block.,Library
Switch board is damaged in Room 204.,Electrical
Bad smell in corridor in Block A.,Cleaning
Library AC not working in First Floor.,Library
Tube light not working in Room 101.,Electrical
Plumbing problem in Admin Block.,Maintenance
Scholarship not received in First Floor.,Others
Keyboard not working in Room 101.,CSE
Loose electrical wiring in Block A.,Electrical
Bus pass issue in Admin Block.,Others
Campus area is dirty in Room 204.,Cleaning
Drinking water cooler not working in Room 101.,Hostel
